resource_id,concept_id,concept_name,resource_name,resource_type,difficulty,duration,duration_minutes,rating,view_count,url,subject,
RES5104,C1008,Logistic Regression,Mastering Logistic Regression - Fundamentals,Video,Beginner,578,9.6,4.5,19120,https://learning-platform.com/videos/logistic-regression/res5104,ML,
RES5091,C1009,Decision Trees,Interactive Tutorial: Decision Trees,Interactive,Advanced,1048,17.5,4.9,29264,https://learning-platform.com/interactive/decision-trees/res5091,ML,
RES5093,C1009,Decision Trees,Interactive Tutorial: Decision Trees,Interactive,Intermediate,862,14.4,4.6,23562,https://learning-platform.com/interactive/decision-trees/res5093,ML,
RES5090,C1009,Decision Trees,Mastering Decision Trees - for Beginners,Video,Beginner,443,7.4,4.8,2559,https://learning-platform.com/videos/decision-trees/res5090,ML,
RES5092,C1009,Decision Trees,Deep Dive into Decision Trees - Advanced Concepts,Video,Intermediate,1244,20.7,3.6,4881,https://learning-platform.com/videos/decision-trees/res5092,ML,
RES5100,C1010,K-Nearest Neighbors,Analysis of K-Nearest Neighbors - Fundamentals,Article,Beginner,280,4.7,4.3,174,https://learning-platform.com/articles/k-nearest-neighbors/res5100,ML,
RES5099,C1010,K-Nearest Neighbors,Simulation: K-Nearest Neighbors,Interactive,Intermediate,593,9.9,4.6,734,https://learning-platform.com/interactive/k-nearest-neighbors/res5099,ML,
RES5101,C1010,K-Nearest Neighbors,Tutorial on K-Nearest Neighbors - Beyond Basics,Video,Intermediate,1509,25.1,3.5,10541,https://learning-platform.com/videos/k-nearest-neighbors/res5101,ML,
RES5119,C1011,Support Vector Machines,Analysis of Support Vector Machines - Getting Started,Article,Beginner,364,6.1,2.9,57914,https://learning-platform.com/articles/support-vector-machines/res5119,ML,
RES5120,C1011,Support Vector Machines,Interactive Tutorial: Support Vector Machines,Interactive,Advanced,1655,27.6,4.6,315,https://learning-platform.com/interactive/support-vector-machines/res5120,ML,
RES5121,C1011,Support Vector Machines,Simulation: Support Vector Machines,Interactive,Beginner,1850,30.8,3.9,273,https://learning-platform.com/interactive/support-vector-machines/res5121,ML,
RES5123,C1011,Support Vector Machines,Coding Challenge: Support Vector Machines,Practice,Advanced,4495,74.9,3.8,2391,https://learning-platform.com/practice/support-vector-machines/res5123,ML,
RES5122,C1011,Support Vector Machines,Complete Guide to Support Vector Machines - Advanced Techniques,Video,Advanced,2032,33.9,3.8,1404,https://learning-platform.com/videos/support-vector-machines/res5122,ML,
RES5116,C1012,Random Forests,Practical Random Forests,Practice,Intermediate,3202,53.4,4.9,200,https://learning-platform.com/practice/random-forests/res5116,ML,
RES5118,C1012,Random Forests,Understanding Random Forests - Fundamentals,Video,Beginner,355,5.9,4.4,174,https://learning-platform.com/videos/random-forests/res5118,ML,
RES5117,C1012,Random Forests,Mastering Random Forests - Intermediate Level,Video,Intermediate,788,13.1,4.6,9211,https://learning-platform.com/videos/random-forests/res5117,ML,
RES5109,C1013,Gradient Boosting,Research on Gradient Boosting - Advanced Techniques,Article,Advanced,803,13.4,4.2,31363,https://learning-platform.com/articles/gradient-boosting/res5109,ML,
RES5107,C1013,Gradient Boosting,Overview of Gradient Boosting - Getting Started,Article,Beginner,279,4.7,3.7,43907,https://learning-platform.com/articles/gradient-boosting/res5107,ML,
RES5110,C1013,Gradient Boosting,Overview of Gradient Boosting - Beyond Basics,Article,Intermediate,602,10,4.8,538,https://learning-platform.com/articles/gradient-boosting/res5110,ML,
RES5111,C1013,Gradient Boosting,Tutorial on Gradient Boosting - Getting Started,Video,Beginner,400,6.7,4.6,161,https://learning-platform.com/videos/gradient-boosting/res5111,ML,
RES5108,C1013,Gradient Boosting,Deep Dive into Gradient Boosting - Advanced Concepts,Video,Intermediate,633,10.6,4.7,855,https://learning-platform.com/videos/gradient-boosting/res5108,ML,
RES5115,C1014,Naive Bayes,Analysis of Naive Bayes - Advanced Concepts,Article,Intermediate,268,4.5,4.9,92308,https://learning-platform.com/articles/naive-bayes/res5115,ML,
RES5114,C1014,Naive Bayes,Playground: Naive Bayes,Interactive,Intermediate,1689,28.1,3.9,36986,https://learning-platform.com/interactive/naive-bayes/res5114,ML,
RES5113,C1014,Naive Bayes,Test Your Knowledge of Naive Bayes,Quiz,Intermediate,1375,22.9,4.2,19436,https://learning-platform.com/quizzes/naive-bayes/res5113,ML,
RES5112,C1014,Naive Bayes,Introduction to Naive Bayes - Fundamentals,Video,Beginner,707,11.8,4.6,5492,https://learning-platform.com/videos/naive-bayes/res5112,ML,
RES5141,C1015,Principal Component Analysis,Coding Challenge: Principal Component Analysis,Practice,Beginner,1331,22.2,3.6,92568,https://learning-platform.com/practice/principal-component-analysis/res5141,ML,
RES5142,C1015,Principal Component Analysis,Coding Challenge: Principal Component Analysis,Practice,Beginner,1042,17.4,4.4,500,https://learning-platform.com/practice/principal-component-analysis/res5142,ML,
RES5135,C1016,K-Means Clustering,Interactive Tutorial: K-Means Clustering,Interactive,Advanced,1661,27.7,4.8,55688,https://learning-platform.com/interactive/k-means-clustering/res5135,ML,
RES5136,C1016,K-Means Clustering,Experiment with K-Means Clustering,Interactive,Advanced,1485,24.8,4,262,https://learning-platform.com/interactive/k-means-clustering/res5136,ML,
RES5133,C1017,Hierarchical Clustering,Analysis of Hierarchical Clustering - Advanced Concepts,Article,Intermediate,708,11.8,4,110,https://learning-platform.com/articles/hierarchical-clustering/res5133,ML,
RES5132,C1017,Hierarchical Clustering,Interactive Tutorial: Hierarchical Clustering,Interactive,Intermediate,2273,37.9,4.9,79341,https://learning-platform.com/interactive/hierarchical-clustering/res5132,ML,
RES5134,C1017,Hierarchical Clustering,Project: Hierarchical Clustering,Practice,Intermediate,1944,32.4,4.5,29325,https://learning-platform.com/practice/hierarchical-clustering/res5134,ML,
RES5131,C1017,Hierarchical Clustering,Understanding Hierarchical Clustering - for Beginners,Video,Beginner,780,13,3.9,2789,https://learning-platform.com/videos/hierarchical-clustering/res5131,ML,
RES5124,C1018,DBSCAN,Knowledge Check: DBSCAN,Quiz,Advanced,1322,22,4.2,5790,https://learning-platform.com/quizzes/dbscan/res5124,ML,
RES5125,C1018,DBSCAN,Mastering DBSCAN - Fundamentals,Video,Beginner,710,11.8,3.8,2815,https://learning-platform.com/videos/dbscan/res5125,ML,
RES5027,C1019,Neural Networks Basics,Practical Neural Networks Basics,Practice,Advanced,3933,65.5,4.1,39260,https://learning-platform.com/practice/neural-networks-basics/res5027,DL,
RES5028,C1019,Neural Networks Basics,Mastering Neural Networks Basics - Fundamentals,Video,Beginner,399,6.7,4.9,717,https://learning-platform.com/videos/neural-networks-basics/res5028,DL,
RES5029,C1019,Neural Networks Basics,Mastering Neural Networks Basics - for Beginners,Video,Beginner,830,13.8,3.8,149,https://learning-platform.com/videos/neural-networks-basics/res5029,DL,
RES5010,C1020,Activation Functions,Research on Activation Functions - Getting Started,Article,Beginner,155,2.6,4.3,5672,https://learning-platform.com/articles/activation-functions/res5010,DL,
RES5015,C1020,Activation Functions,Research on Activation Functions - Getting Started,Article,Beginner,398,6.6,4.9,785,https://learning-platform.com/articles/activation-functions/res5015,DL,
RES5012,C1020,Activation Functions,Lab: Activation Functions,Practice,Advanced,4355,72.6,3.6,97356,https://learning-platform.com/practice/activation-functions/res5012,DL,
RES5014,C1020,Activation Functions,Lab: Activation Functions,Practice,Beginner,1266,21.1,4.2,42418,https://learning-platform.com/practice/activation-functions/res5014,DL,
RES5011,C1020,Activation Functions,Complete Guide to Activation Functions - Getting Started,Video,Beginner,623,10.4,4.2,38309,https://learning-platform.com/videos/activation-functions/res5011,DL,
RES5013,C1020,Activation Functions,Introduction to Activation Functions - Getting Started,Video,Beginner,641,10.7,4.6,4082,https://learning-platform.com/videos/activation-functions/res5013,DL,
RES5019,C1021,Backpropagation,Analysis of Backpropagation - Advanced Concepts,Article,Intermediate,285,4.8,3.7,6603,https://learning-platform.com/articles/backpropagation/res5019,DL,
RES5017,C1021,Backpropagation,Assessment: Backpropagation,Quiz,Advanced,895,14.9,4.8,836,https://learning-platform.com/quizzes/backpropagation/res5017,DL,
RES5016,C1021,Backpropagation,Complete Guide to Backpropagation - Cutting Edge,Video,Advanced,1367,22.8,4.9,56948,https://learning-platform.com/videos/backpropagation/res5016,DL,
RES5018,C1021,Backpropagation,Introduction to Backpropagation - for Beginners,Video,Beginner,552,9.2,4.6,85892,https://learning-platform.com/videos/backpropagation/res5018,DL,
RES5038,C1022,Convolutional Neural Networks,Study on Convolutional Neural Networks - for Beginners,Article,Beginner,316,5.3,3.9,14217,https://learning-platform.com/articles/convolutional-neural-networks/res5038,DL,
RES5040,C1022,Convolutional Neural Networks,Simulation: Convolutional Neural Networks,Interactive,Intermediate,1744,29.1,3.5,8153,https://learning-platform.com/interactive/convolutional-neural-networks/res5040,DL,
RES5039,C1022,Convolutional Neural Networks,Understanding Convolutional Neural Networks - Getting Started,Video,Beginner,948,15.8,4.2,34539,https://learning-platform.com/videos/convolutional-neural-networks/res5039,DL,
RES5052,C1023,Recurrent Neural Networks,Simulation: Recurrent Neural Networks,Interactive,Beginner,1142,19,4,14429,https://learning-platform.com/interactive/recurrent-neural-networks/res5052,DL,
RES5049,C1023,Recurrent Neural Networks,Understanding Recurrent Neural Networks - for Beginners,Video,Beginner,433,7.2,3.7,15333,https://learning-platform.com/videos/recurrent-neural-networks/res5049,DL,
RES5051,C1023,Recurrent Neural Networks,Tutorial on Recurrent Neural Networks - Getting Started,Video,Beginner,528,8.8,4.6,10277,https://learning-platform.com/videos/recurrent-neural-networks/res5051,DL,
RES5050,C1023,Recurrent Neural Networks,Tutorial on Recurrent Neural Networks - Intermediate Level,Video,Intermediate,1438,24,4.1,580,https://learning-platform.com/videos/recurrent-neural-networks/res5050,DL,
RES5053,C1023,Recurrent Neural Networks,Understanding Recurrent Neural Networks - Beyond Basics,Video,Intermediate,1216,20.3,4.5,376,https://learning-platform.com/videos/recurrent-neural-networks/res5053,DL,
RES5046,C1024,LSTM Networks,Comprehensive Guide to LSTM Networks - Beyond Basics,Article,Intermediate,309,5.2,3.8,2403,https://learning-platform.com/articles/lstm-networks/res5046,DL,
RES5047,C1024,LSTM Networks,Research on LSTM Networks - Beyond Basics,Article,Intermediate,346,5.8,4,79554,https://learning-platform.com/articles/lstm-networks/res5047,DL,
RES5048,C1024,LSTM Networks,Lab: LSTM Networks,Practice,Intermediate,2599,43.3,5,65722,https://learning-platform.com/practice/lstm-networks/res5048,DL,
RES5045,C1024,LSTM Networks,Mastering LSTM Networks - Advanced Concepts,Video,Intermediate,1335,22.2,4.8,631,https://learning-platform.com/videos/lstm-networks/res5045,DL,
RES5035,C1025,Autoencoders,Overview of Autoencoders - for Beginners,Article,Beginner,247,4.1,4.9,43432,https://learning-platform.com/articles/autoencoders/res5035,DL,
RES5037,C1025,Autoencoders,Study on Autoencoders - Beyond Basics,Article,Intermediate,288,4.8,4.9,43090,https://learning-platform.com/articles/autoencoders/res5037,DL,
RES5034,C1025,Autoencoders,Introduction to Autoencoders - Advanced Techniques,Video,Advanced,1890,31.5,4.2,97339,https://learning-platform.com/videos/autoencoders/res5034,DL,
RES5033,C1025,Autoencoders,Deep Dive into Autoencoders - Beyond Basics,Video,Intermediate,952,15.9,3.9,10353,https://learning-platform.com/videos/autoencoders/res5033,DL,
RES5036,C1025,Autoencoders,Tutorial on Autoencoders - Advanced Concepts,Video,Intermediate,983,16.4,4,26381,https://learning-platform.com/videos/autoencoders/res5036,DL,
RES5078,C1026,Generative Adversarial Networks,Overview of Generative Adversarial Networks - Intermediate Level,Article,Intermediate,461,7.7,4.3,35377,https://learning-platform.com/articles/generative-adversarial-networks/res5078,DL,
RES5080,C1026,Generative Adversarial Networks,Project: Generative Adversarial Networks,Practice,Intermediate,3207,53.5,4.4,21082,https://learning-platform.com/practice/generative-adversarial-networks/res5080,DL,
RES5077,C1026,Generative Adversarial Networks,Quiz on Generative Adversarial Networks,Quiz,Beginner,517,8.6,4.4,89440,https://learning-platform.com/quizzes/generative-adversarial-networks/res5077,DL,
RES5079,C1026,Generative Adversarial Networks,Understanding Generative Adversarial Networks - Advanced Concepts,Video,Intermediate,759,12.7,4.8,287,https://learning-platform.com/videos/generative-adversarial-networks/res5079,DL,
RES5085,C1027,Transformers,Analysis of Transformers - Getting Started,Article,Beginner,144,2.4,3.9,1279,https://learning-platform.com/articles/transformers/res5085,DL,
RES5081,C1027,Transformers,Overview of Transformers - Intermediate Level,Article,Intermediate,689,11.5,3.3,539,https://learning-platform.com/articles/transformers/res5081,DL,
RES5086,C1027,Transformers,Project: Transformers,Practice,Intermediate,2587,43.1,4,649,https://learning-platform.com/practice/transformers/res5086,DL,
RES5083,C1027,Transformers,Deep Dive into Transformers - Fundamentals,Video,Beginner,622,10.4,4.3,374,https://learning-platform.com/videos/transformers/res5083,DL,
RES5084,C1027,Transformers,Complete Guide to Transformers - Getting Started,Video,Beginner,656,10.9,4.2,2210,https://learning-platform.com/videos/transformers/res5084,DL,
RES5082,C1027,Transformers,Mastering Transformers - Beyond Basics,Video,Intermediate,1233,20.6,3.8,24745,https://learning-platform.com/videos/transformers/res5082,DL,
RES5060,C1028,BERT,Try it Yourself: BERT,Interactive,Advanced,887,14.8,3.6,35075,https://learning-platform.com/interactive/bert/res5060,DL,
RES5063,C1028,BERT,Playground: BERT,Interactive,Advanced,1301,21.7,3.9,2843,https://learning-platform.com/interactive/bert/res5063,DL,
RES5065,C1028,BERT,Lab: BERT,Practice,Intermediate,1755,29.2,3.7,1756,https://learning-platform.com/practice/bert/res5065,DL,
RES5061,C1028,BERT,Deep Dive into BERT - Getting Started,Video,Beginner,470,7.8,5,70813,https://learning-platform.com/videos/bert/res5061,DL,
RES5062,C1028,BERT,Tutorial on BERT - Fundamentals,Video,Beginner,945,15.8,4.7,49161,https://learning-platform.com/videos/bert/res5062,DL,
RES5064,C1028,BERT,Deep Dive into BERT - Fundamentals,Video,Beginner,527,8.8,3.9,47761,https://learning-platform.com/videos/bert/res5064,DL,
RES5073,C1029,GPT Models,Comprehensive Guide to GPT Models - Intermediate Level,Article,Intermediate,507,8.4,2.2,239,https://learning-platform.com/articles/gpt-models/res5073,DL,
RES5075,C1029,GPT Models,Interactive Tutorial: GPT Models,Interactive,Beginner,2638,44,4.9,119,https://learning-platform.com/interactive/gpt-models/res5075,DL,
RES5072,C1029,GPT Models,Deep Dive into GPT Models - Getting Started,Video,Beginner,355,5.9,3.6,470,https://learning-platform.com/videos/gpt-models/res5072,DL,
RES5074,C1029,GPT Models,Complete Guide to GPT Models - Fundamentals,Video,Beginner,369,6.2,4.5,318,https://learning-platform.com/videos/gpt-models/res5074,DL,
RES5076,C1029,GPT Models,Mastering GPT Models - Fundamentals,Video,Beginner,899,15,4.9,5974,https://learning-platform.com/videos/gpt-models/res5076,DL,
RES5067,C1030,Diffusion Models,Simulation: Diffusion Models,Interactive,Beginner,1307,21.8,4.6,72492,https://learning-platform.com/interactive/diffusion-models/res5067,DL,
RES5068,C1030,Diffusion Models,Coding Challenge: Diffusion Models,Practice,Advanced,7451,124.2,4.8,658,https://learning-platform.com/practice/diffusion-models/res5068,DL,
RES5069,C1030,Diffusion Models,Project: Diffusion Models,Practice,Advanced,2751,45.9,4.7,33228,https://learning-platform.com/practice/diffusion-models/res5069,DL,
RES5071,C1030,Diffusion Models,Practical Diffusion Models,Practice,Intermediate,2169,36.1,4,1372,https://learning-platform.com/practice/diffusion-models/res5071,DL,
RES5070,C1030,Diffusion Models,Assessment: Diffusion Models,Quiz,Beginner,348,5.8,4.5,2427,https://learning-platform.com/quizzes/diffusion-models/res5070,DL,
RES5066,C1030,Diffusion Models,Mastering Diffusion Models - Fundamentals,Video,Beginner,544,9.1,4.9,12205,https://learning-platform.com/videos/diffusion-models/res5066,DL,
RES5098,C1031,Hyperparameter Tuning,Research on Hyperparameter Tuning - Expert Level,Article,Advanced,910,15.2,3.7,279,https://learning-platform.com/articles/hyperparameter-tuning/res5098,ML,
RES5096,C1031,Hyperparameter Tuning,Interactive Tutorial: Hyperparameter Tuning,Interactive,Intermediate,1344,22.4,4.2,747,https://learning-platform.com/interactive/hyperparameter-tuning/res5096,ML,
RES5094,C1031,Hyperparameter Tuning,Exercise on Hyperparameter Tuning,Practice,Intermediate,3071,51.2,5,7295,https://learning-platform.com/practice/hyperparameter-tuning/res5094,ML,
RES5097,C1031,Hyperparameter Tuning,Deep Dive into Hyperparameter Tuning - Fundamentals,Video,Beginner,584,9.7,3.6,621,https://learning-platform.com/videos/hyperparameter-tuning/res5097,ML,
RES5095,C1031,Hyperparameter Tuning,Complete Guide to Hyperparameter Tuning - Advanced Concepts,Video,Intermediate,919,15.3,3.8,295,https://learning-platform.com/videos/hyperparameter-tuning/res5095,ML,
RES5087,C1032,Cross-Validation,Overview of Cross-Validation - for Beginners,Article,Beginner,180,3,4.6,11762,https://learning-platform.com/articles/cross-validation/res5087,ML,
RES5088,C1032,Cross-Validation,Overview of Cross-Validation - Getting Started,Article,Beginner,210,3.5,4.4,6171,https://learning-platform.com/articles/cross-validation/res5088,ML,
RES5089,C1032,Cross-Validation,Playground: Cross-Validation,Interactive,Beginner,1895,31.6,2.8,665,https://learning-platform.com/interactive/cross-validation/res5089,ML,
RES5138,C1033,Model Evaluation,Research on Model Evaluation - Beyond Basics,Article,Intermediate,542,9,4.5,7030,https://learning-platform.com/articles/model-evaluation/res5138,ML,
RES5139,C1033,Model Evaluation,Research on Model Evaluation - Beyond Basics,Article,Intermediate,305,5.1,4.2,1224,https://learning-platform.com/articles/model-evaluation/res5139,ML,
RES5140,C1033,Model Evaluation,Simulation: Model Evaluation,Interactive,Beginner,1282,21.4,4.1,232,https://learning-platform.com/interactive/model-evaluation/res5140,ML,
RES5137,C1033,Model Evaluation,Practical Model Evaluation,Practice,Intermediate,2285,38.1,3.7,10267,https://learning-platform.com/practice/model-evaluation/res5137,ML,
RES5130,C1034,Ensemble Methods,Overview of Ensemble Methods - Expert Level,Article,Advanced,795,13.2,4.6,249,https://learning-platform.com/articles/ensemble-methods/res5130,ML,
RES5126,C1034,Ensemble Methods,Simulation: Ensemble Methods,Interactive,Beginner,1585,26.4,3.9,9433,https://learning-platform.com/interactive/ensemble-methods/res5126,ML,
RES5128,C1034,Ensemble Methods,Try it Yourself: Ensemble Methods,Interactive,Intermediate,2283,38,3.8,564,https://learning-platform.com/interactive/ensemble-methods/res5128,ML,
RES5129,C1034,Ensemble Methods,Project: Ensemble Methods,Practice,Beginner,1198,20,3.6,125,https://learning-platform.com/practice/ensemble-methods/res5129,ML,
RES5127,C1034,Ensemble Methods,Deep Dive into Ensemble Methods - Getting Started,Video,Beginner,307,5.1,5,17199,https://learning-platform.com/videos/ensemble-methods/res5127,ML,
RES5057,C1035,Self-Supervised Learning,Research on Self-Supervised Learning - Cutting Edge,Article,Advanced,658,11,4,276,https://learning-platform.com/articles/self-supervised-learning/res5057,DL,
RES5056,C1035,Self-Supervised Learning,Playground: Self-Supervised Learning,Interactive,Advanced,1543,25.7,3.6,7921,https://learning-platform.com/interactive/self-supervised-learning/res5056,DL,
RES5058,C1035,Self-Supervised Learning,Try it Yourself: Self-Supervised Learning,Interactive,Beginner,1217,20.3,4.2,5333,https://learning-platform.com/interactive/self-supervised-learning/res5058,DL,
RES5059,C1035,Self-Supervised Learning,Playground: Self-Supervised Learning,Interactive,Intermediate,1317,21.9,3.1,20423,https://learning-platform.com/interactive/self-supervised-learning/res5059,DL,
RES5054,C1035,Self-Supervised Learning,Complete Guide to Self-Supervised Learning - Getting Started,Video,Beginner,989,16.5,4.4,31708,https://learning-platform.com/videos/self-supervised-learning/res5054,DL,
RES5055,C1035,Self-Supervised Learning,Tutorial on Self-Supervised Learning - Getting Started,Video,Beginner,477,8,4.5,2120,https://learning-platform.com/videos/self-supervised-learning/res5055,DL,
RES5043,C1036,Explainable AI,Research on Explainable AI - Advanced Concepts,Article,Intermediate,407,6.8,3.7,44916,https://learning-platform.com/articles/explainable-ai/res5043,DL,
RES5044,C1036,Explainable AI,Playground: Explainable AI,Interactive,Intermediate,1913,31.9,5,44080,https://learning-platform.com/interactive/explainable-ai/res5044,DL,
RES5041,C1036,Explainable AI,Mastering Explainable AI - Getting Started,Video,Beginner,734,12.2,3.3,51497,https://learning-platform.com/videos/explainable-ai/res5041,DL,
RES5042,C1036,Explainable AI,Tutorial on Explainable AI - Getting Started,Video,Beginner,340,5.7,3.7,840,https://learning-platform.com/videos/explainable-ai/res5042,DL,
RES5026,C1037,Neural Architecture Search,Playground: Neural Architecture Search,Interactive,Advanced,820,13.7,4.2,4476,https://learning-platform.com/interactive/neural-architecture-search/res5026,DL,
RES5024,C1037,Neural Architecture Search,Exercise on Neural Architecture Search,Practice,Beginner,1148,19.1,4.1,145,https://learning-platform.com/practice/neural-architecture-search/res5024,DL,
RES5025,C1037,Neural Architecture Search,Quiz on Neural Architecture Search,Quiz,Advanced,395,6.6,3.9,2217,https://learning-platform.com/quizzes/neural-architecture-search/res5025,DL,
RES5021,C1038,Meta Learning,Introduction to Meta Learning - Cutting Edge,Video,Advanced,1337,22.3,4.3,105,https://learning-platform.com/videos/meta-learning/res5021,DL,
RES5020,C1038,Meta Learning,Deep Dive into Meta Learning - Getting Started,Video,Beginner,518,8.6,4.1,2261,https://learning-platform.com/videos/meta-learning/res5020,DL,
RES5023,C1038,Meta Learning,Tutorial on Meta Learning - Getting Started,Video,Beginner,665,11.1,4.2,26453,https://learning-platform.com/videos/meta-learning/res5023,DL,
RES5022,C1038,Meta Learning,Introduction to Meta Learning - Beyond Basics,Video,Intermediate,588,9.8,3.6,10160,https://learning-platform.com/videos/meta-learning/res5022,DL,
RES5152,,Data Cleaning,Data Cleaning - Article (Advanced),Article,Advanced,420,7,3.3,3637,https://learning-platform.com/resources/res5152,General,
RES5191,,Research Papers,Research Papers - Article (Advanced),Article,Advanced,1500,25,3.6,1257,https://learning-platform.com/resources/res5191,General,
RES5192,,Interview Preparation,Interview Preparation - Article (Advanced),Article,Advanced,1500,25,3.6,486,https://learning-platform.com/resources/res5192,General,
RES5148,,Career Guidance,Career Guidance - Article (Beginner),Article,Beginner,1380,23,3.2,1818,https://learning-platform.com/resources/res5148,General,
RES5149,,Python Basics,Python Basics - Article (Beginner),Article,Beginner,1260,21,3.6,4058,https://learning-platform.com/resources/res5149,General,
RES5154,,Interview Preparation,Interview Preparation - Article (Beginner),Article,Beginner,1260,21,4.2,176,https://learning-platform.com/resources/res5154,General,
RES5161,,Data Visualization,Data Visualization - Article (Beginner),Article,Beginner,1080,18,3.7,4606,https://learning-platform.com/resources/res5161,General,
RES5173,,Interview Preparation,Interview Preparation - Article (Beginner),Article,Beginner,1080,18,3.5,7715,https://learning-platform.com/resources/res5173,General,
RES5176,,Python Basics,Python Basics - Article (Beginner),Article,Beginner,300,5,3.4,23083,https://learning-platform.com/resources/res5176,General,
RES5146,,Research Papers,Research Papers - Interactive (Beginner),Interactive,Beginner,600,10,3.3,135,https://learning-platform.com/resources/res5146,General,
RES5182,,Case Studies,Case Studies - Interactive (Beginner),Interactive,Beginner,600,10,4.9,268,https://learning-platform.com/resources/res5182,General,
RES5188,,Ethics in AI,Ethics in AI - Interactive (Beginner),Interactive,Beginner,960,16,3.3,241,https://learning-platform.com/resources/res5188,General,
RES5189,,Data Visualization,Data Visualization - Interactive (Beginner),Interactive,Beginner,900,15,4.9,3714,https://learning-platform.com/resources/res5189,General,
RES5157,,Data Visualization,Data Visualization - Interactive (Intermediate),Interactive,Intermediate,1200,20,3.9,4600,https://learning-platform.com/resources/res5157,General,
RES5168,,Case Studies,Case Studies - Interactive (Intermediate),Interactive,Intermediate,720,12,3.3,3827,https://learning-platform.com/resources/res5168,General,
RES5179,,Career Guidance,Career Guidance - Interactive (Intermediate),Interactive,Intermediate,2160,36,4.3,768,https://learning-platform.com/resources/res5179,General,
RES5175,,Interview Preparation,Interview Preparation - Practice (Advanced),Practice,Advanced,5220,87,4.3,129,https://learning-platform.com/resources/res5175,General,
RES5153,,Career Guidance,Career Guidance - Practice (Beginner),Practice,Beginner,3660,61,3.8,3115,https://learning-platform.com/resources/res5153,General,
RES5155,,Data Visualization,Data Visualization - Practice (Beginner),Practice,Beginner,5400,90,4.4,344,https://learning-platform.com/resources/res5155,General,
RES5158,,Data Cleaning,Data Cleaning - Practice (Beginner),Practice,Beginner,4800,80,3.1,12006,https://learning-platform.com/resources/res5158,General,
RES5164,,Research Papers,Research Papers - Practice (Beginner),Practice,Beginner,4020,67,3.2,497,https://learning-platform.com/resources/res5164,General,
RES5169,,Data Visualization,Data Visualization - Practice (Beginner),Practice,Beginner,5220,87,3.4,1120,https://learning-platform.com/resources/res5169,General,
RES5143,,Python Basics,Python Basics - Practice (Intermediate),Practice,Intermediate,3300,55,4.7,229,https://learning-platform.com/resources/res5143,General,
RES5151,,Interview Preparation,Interview Preparation - Practice (Intermediate),Practice,Intermediate,4560,76,3.1,159,https://learning-platform.com/resources/res5151,General,
